Optic_TM;Th;Color;Lines;TO;TO_dens;Roll;NewGroup;NewCombo;Quant;Vs;Downtime
;20,00;6;2;1;10,00;460;0;1;12,95;6,00;
;20,00;6;2;1;10,00;460;0;;9,09;1,32;0,54
;20,00;6;2;1;10,00;460;0;;18,92;8,40;
;20,00;6;2;1;10,00;460;0;;12,41;1,38;0,67
;20,00;6;2;1;7,66;600;0;1;15,13;8,28;
;20,00;6;2;1;7,66;600;0;;18,63;4,08;0,11
;20,00;6;2;1;7,66;600;0;;18,38;4,92;
;20,00;6;2;1;7,66;600;0;;18,57;4,98;
;20,00;5;3;1;11,43;500;0;;52,83;9,48;
;20,00;5;3;1;11,43;500;0;;53,50;11,04;
;20,00;8;5;1;30,99;440;0;1;17,82;6,30;
;20,00;8;3;1;12,43;680;0;1;6,65;2,10;
;20,00;10;3;3;12,43;680;1;1;5,17;0,96;0,35
;20,00;5;3;1;12,50;500;1;1;25,35;6,60;
;20,00;5;3;1;12,50;500;0;;49,71;9,48;
;20,00;5;3;1;12,50;500;0;;25,85;5,16;0,20
;20,00;5;3;1;12,50;500;0;1;24,93;8,10;
;20,00;5;3;1;12,50;500;0;;25,13;6,54;
1;20,00;10;4;2;22,70;660;0;;14,83;2,64;0,18
1;20,00;6;2;2;7,80;570;0;;16,55;4,74;0,12
1;20,00;8;3;2;11,90;480;0;;15,09;3,84;
1;20,00;10;9;1;56,98;540;0;;40,16;5,52;0,15
1;20,00;10;9;1;56,98;540;0;;58,24;5,52;0,17
1;20,00;10;9;1;56,98;540;0;;55,64;7,56;0,30
1;20,00;10;6;1;25,06;420;0;1;53,36;8,88;
1;20,00;4;8;1;30,30;440;1;1;14,27;2,82;0,54
1;20,00;7;3;2;13,59;460;0;1;15,06;1,86;0,22
1;20,00;9;3;1;10,68;520;0;1;16,82;3,18;0,25
1;20,00;8;4;3;23,77;660;0;1;32,98;6,06;0,43
1;20,00;6;4;1;23,77;660;0;1;26,28;7,02;
1;20,00;9;4;2;23,77;660;0;1;19,78;4,50;0,21
1;20,00;2;8;1;53,05;390;1;1;0,16;0,18;
1;20,00;2;5;1;36,36;500;1;1;0,19;0,24;
1;20,00;2;5;1;26,04;480;1;1;0,11;0,06;0,55
1;20,00;2;5;1;21,93;380;1;1;0,08;0,12;
1;20,00;10;3;3;11,90;480;1;1;13,91;1,98;0,33
1;20,00;7;2;2;7,80;570;0;1;15,69;4,20;
1;20,00;9;4;3;23,77;660;0;1;17,17;4,50;
1;20,00;8;4;2;22,70;660;0;1;27,40;7,14;
1;20,00;7;9;1;56,98;540;0;1;27,46;4,20;0,28
1;20,00;7;9;1;56,98;540;0;1;14,16;1,80;0,46
1;20,00;7;9;1;56,98;540;0;1;13,50;2,64;0,23
1;20,00;2;5;1;28,57;420;1;1;0,13;0,12;0,36
1;20,00;9;5;1;25,25;660;1;1;14,92;2,46;0,25
1;20,00;9;5;3;25,25;660;1;1;115,75;9,90;0,17
1;20,00;10;5;2;22,73;400;1;1;27,42;4,68;
1;20,00;9;4;2;22,70;660;0;1;14,72;4,08;
1;20,00;7;4;2;23,77;660;0;1;19,75;5,04;0,36
